Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\DragonFly-PCB\Project Outputs for DragonFly\Pick Place\Pick Place for DragonFly.csv

========================================================================================================================
File Design Information:

Date:       09/05/19
Time:       20:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R18","Resistor","TopLayer","0402_-_Resistor","10161.000","3098.000","90",""
"R17","Resistor","TopLayer","0402_-_Resistor","8502.000","3099.000","90",""
"LD6","Led","TopLayer","0603_-_led","10272.000","2986.000","180",""
"LD5","Led","TopLayer","0603_-_led","8398.000","2986.000","360",""
"Z1","USB MICROB","BottomLayer","USB_-_microB","9331.756","5281.342","0","609-4613-1-ND"
"Y1","XTAL_4","TopLayer","XTAL_1.6X1.2MM_4-SMD","9444.000","4884.000","180",""
"SP8","Signal Point","TopLayer","Signal_point_2mm","8604.000","3324.000","0",""
"SP7","Signal Point","TopLayer","Signal_point_2mm","11025.000","5609.000","0",""
"SP6","Signal Point","TopLayer","Signal_point_2mm","8121.000","3682.000","0",""
"SP5","Signal Point","TopLayer","Signal_point_2mm","10369.000","5967.000","0",""
"SP4","Signal Point","TopLayer","Signal_point_2mm","10059.000","3324.000","0",""
"SP3","Signal Point","TopLayer","Signal_point_2mm","7649.000","5605.000","0",""
"SP2","Signal Point","TopLayer","Signal_point_2mm","10546.000","3678.000","0",""
"SP1","Signal Point","TopLayer","Signal_point_2mm","8280.000","5977.000","0",""
"R22","Resistor","TopLayer","0402_-_Resistor","7906.000","3198.000","360",""
"R21","Resistor","TopLayer","0402_-_Resistor","10742.000","3205.000","180",""
"R20","Resistor","TopLayer","0402_-_Resistor","11169.000","5979.000","270",""
"R19","Resistor","TopLayer","0402_-_Resistor","7497.000","5979.000","270",""
"R16","Resistor","TopLayer","0402_-_Resistor","9469.189","5274.905","270",""
"R15","Resistor","TopLayer","0402_-_Resistor","9414.071","5274.905","270",""
"R14","Resistor","TopLayer","0402_-_Resistor","9358.953","5274.905","270",""
"R13","Resistor","TopLayer","0402_-_Resistor","9193.598","5274.905","270",""
"R12","Resistor","TopLayer","0402_-_Resistor","9248.717","5274.905","270",""
"R11","Resistor","TopLayer","0402_-_Resistor","9303.835","5274.905","270",""
"R10","Resistor","BottomLayer","0402_-_Resistor","9487.000","4807.000","180",""
"R9","Resistor","BottomLayer","0402_-_Resistor","9486.000","4858.000","180",""
"R8","Resistor","BottomLayer","0402_-_Resistor","9342.667","5054.500","90",""
"R7","Resistor","BottomLayer","0402_-_Resistor","9300.333","5054.500","90",""
"R6","Resistor","TopLayer","0402_-_Resistor","9388.000","4847.000","270",""
"R4","Resistor","TopLayer","0402_-_Resistor","9486.000","4766.000","360",""
"R3","Resistor","TopLayer","0402_-_Resistor","9327.346","4878.000","360",""
"N10","N-MOSFET","TopLayer","DFN1006-3","9469.689","5194.000","270",""
"N9","N-MOSFET","TopLayer","DFN1006-3","9414.571","5194.000","270",""
"N8","N-MOSFET","TopLayer","DFN1006-3","9359.453","5194.000","270",""
"N7","N-MOSFET","TopLayer","DFN1006-3","9194.098","5194.000","270",""
